Epoch,Train Loss,Train Metric,Validation Loss,Validation Metric
1,6102.494348144532,77.80580139160156,5694.897705078125,74.84992980957031
2,4330.595129394531,65.5202407836914,3800.8728515625,61.04768371582031
3,2881.5681396484374,53.428794860839844,2706.6367919921877,51.31340408325195
4,1951.341732788086,43.9536018371582,1946.9236938476563,43.27456283569336
5,1306.3908599853517,35.957305908203125,1337.6698852539062,35.77010726928711
6,946.282421875,30.631309509277344,1118.1662902832031,32.43152618408203
7,741.6372444152832,27.080955505371094,1018.37265625,30.814809799194336
8,590.4604766845703,24.120580673217773,1086.8442016601562,31.639184951782227
9,495.8916488647461,22.075529098510742,993.3238739013672,30.078489303588867
10,438.8987205505371,20.79937744140625,752.3064270019531,26.177385330200195
11,383.0762115478516,19.423583984375,760.5874938964844,26.395816802978516
12,399.8870391845703,19.75911521911621,770.5354522705078,26.362571716308594
13,376.2250350952148,19.188213348388672,720.8042572021484,25.568702697753906
14,354.1628562927246,18.57137107849121,695.8382629394531,25.036949157714844
15,347.2689468383789,18.417236328125,715.9340240478516,25.349327087402344
16,316.00720863342286,17.581890106201172,595.0017730712891,23.223308563232422
17,336.4755554199219,18.137662887573242,687.3184509277344,24.972362518310547
18,324.3587471008301,17.766298294067383,590.8911071777344,23.2995662689209
19,320.15831527709963,17.694814682006836,585.1936614990234,23.102649688720703
20,315.0914699554443,17.525814056396484,613.4321182250976,23.561677932739258
